year,catastrophic_10pct,catastrophic_25pct
2011,4.12,0.49
2011,3.76,0.58
2011,3.76,0.3
2011,3.76,0.49
2013,3.14,0.64
2013,3.14,0.84
2013,3.14,0.28
2013,5.26,0.64
2013,5.26,0.84
2013,5.26,0.28
2013,6.45,0.64
2013,6.45,0.84
2013,6.45,0.28
2013,6.59,0.64
2013,6.59,0.84
2013,6.59,0.28
2013,7.07,0.64
2013,7.07,0.84
2013,7.07,0.28
2013,6.94,0.64
2013,6.94,0.84
2013,6.94,0.28
2013,14.92,0.64
2013,14.92,0.84
2013,14.92,0.28
2013,6.12,0.64
2013,6.12,0.84
2013,6.12,0.28
2013,5.43,0.64
2013,5.43,0.84
2013,5.43,0.28
2013,7.65,0.64
2013,7.65,0.84
2013,7.65,0.28
2013,10.52,0.64
2013,10.52,0.84
2013,10.52,0.28
2013,5.61,0.64
2013,5.61,0.84
2013,5.61,0.28
2013,4.9,0.64
2013,4.9,0.84
2013,4.9,0.28
2015,5.16,0.5
2015,5.16,0.63
2015,5.16,0.26
2015,12.83,0.5
2015,12.83,0.63
2015,12.83,0.26
2015,5.24,0.5
2015,5.24,0.63
2015,5.24,0.26
2015,4.16,0.5
2015,4.16,0.63
2015,4.16,0.26
2015,3.99,0.5
2015,3.99,0.63
2015,3.99,0.26
2015,4.39,0.5
2015,4.39,0.63
2015,4.39,0.26
2015,3.33,0.5
2015,3.33,0.63
2015,3.33,0.26
2015,4.47,0.5
2015,4.47,0.63
2015,4.47,0.26
2015,5.32,0.5
2015,5.32,0.63
2015,5.32,0.26
2015,5.7,0.5
2015,5.7,0.63
2015,5.7,0.26
2015,5.39,0.5
2015,5.39,0.63
2015,5.39,0.26
2015,2.76,0.5
2015,2.76,0.63
2015,2.76,0.26
2015,7.37,0.5
2015,7.37,0.63
2015,7.37,0.26
2018,4.66,1.13
2018,4.66,0.82
2018,4.66,1.02
2018,5.42,1.13
2018,5.42,0.82
2018,5.42,1.02
2018,7.65,1.13
2018,7.65,0.82
2018,7.65,1.02
2018,5.39,1.13
2018,5.39,0.82
2018,5.39,1.02
2018,4.96,1.13
2018,4.96,0.82
2018,4.96,1.02
2018,5.5,1.13
2018,5.5,0.82
2018,5.5,1.02
2018,3.76,1.13
2018,3.76,0.82
2018,3.76,1.02
2018,19.46,1.13
2018,19.46,0.82
2018,19.46,1.02
2018,6.56,1.13
2018,6.56,0.82
2018,6.56,1.02
2018,6.32,1.13
2018,6.32,0.82
2018,6.32,1.02
2018,7.08,1.13
2018,7.08,0.82
2018,7.08,1.02
2018,6.46,1.13
2018,6.46,0.82
2018,6.46,1.02
2018,5.07,1.13
2018,5.07,0.82
2018,5.07,1.02
